"Subj","File","Word","Consonant","MinIntensity","Vowel","MaxIntensity","IntensityDifference","test_perc","test_cefr","Context"
"110","fas110928","fas110928_t2.wav","DE","d",48.8326526709555,"e",59.5024497445123,10.6697970735568,63.0769230769231,"B2","initial"
"112","fas110928","fas110928_t2.wav","TODAS","d",55.9579015346845,"a",64.2218673697424,8.2639658350579,63.0769230769231,"B2","medial"
"114","fas110928","fas110928_t2.wav","PORTUGUÉS","g",54.9118422848055,"e",63.1910385909,8.27919630609455,63.0769230769231,"B2","medial"
"115","fas110928","fas110928_t2.wav","TODAS","d",63.2661476477421,"a",63.0469292472222,-0.219218400519878,63.0769230769231,"B2","medial"
"116","fas110928","fas110928_t2.wav","BASE","b",44.8305410041015,"a",62.0891679983337,17.2586269942323,63.0769230769231,"B2","initial"
"118","fas110928","fas110928_t2.wav","DE","d",53.4094268054951,"e",61.987377650967,8.57795084547191,63.0769230769231,"B2","initial"
"119","fas110928","fas110928_t2.wav","GOBIERNO","g",47.293366201647,"o",59.4926894152412,12.1993232135942,63.0769230769231,"B2","initial"
"120","fas110928","fas110928_t2.wav","GOBIERNO","b",49.4631621067812,"i",62.5809845785228,13.1178224717416,63.0769230769231,"B2","initial"
"122","fas110928","fas110928_t2.wav","IDEA","d",53.1063400040082,"e",62.2859166335453,9.1795766295371,63.0769230769231,"B2","medial"
"123","fas110928","fas110928_t2.wav","DE","d",53.7325968775001,"e",62.6511225292088,8.91852565170864,63.0769230769231,"B2","initial"
"124","fas110928","fas110928_t2.wav","IDEALES","d",49.5420929109524,"e",61.4911020938248,11.9490091828724,63.0769230769231,"B2","medial"
"125","fas110928","fas110928_t2.wav","PUEDAN","d",55.3957966572849,"a",55.5664151994595,0.170618542174672,63.0769230769231,"B2","medial"
"126","fas110928","fas110928_t2.wav","TODOS","d",59.3270174094076,"o",59.3264541220387,-0.000563287368954946,63.0769230769231,"B2","medial"
"128","fas110928","fas110928_t2.wav","SIGUE","g",62.1119371728165,"e",63.9821755700047,1.87023839718822,63.0769230769231,"B2","medial"
"129","fas110928","fas110928_t2.wav","BASE","b",46.9843004973962,"a",64.5135708901718,17.5292703927756,63.0769230769231,"B2","initial"
"130","fas110928","fas110928_t2.wav","DE","d",51.1341496325664,"e",59.1932220930916,8.05907246052522,63.0769230769231,"B2","initial"
"131","fas110928","fas110928_t2.wav","CONSIDERABAN","d",59.585658058167,"e",61.677516217392,2.09185815922494,63.0769230769231,"B2","medial"
"132","fas110928","fas110928_t2.wav","CONSIDERABAN","b",53.5635980299804,"a",63.3558799538589,9.79228192387848,63.0769230769231,"B2","medial"
"134","fas110928","fas110928_t2.wav","CONQUISTADOS","d",57.7081190471397,"o",57.9895784774167,0.281459430276975,63.0769230769231,"B2","medial"
"135","fas110928","fas110928_t2.wav","CIUDADANOS","d",49.6752221045371,"a",61.1077600169709,11.4325379124338,63.0769230769231,"B2","medial"
"136","fas110928","fas110928_t2.wav","CIUDADANOS","d",57.479762820239,"a",61.9587843289053,4.4790215086663,63.0769230769231,"B2","medial"
"137","fas110928","fas110928_t2.wav","DEL","d",48.2677971397445,"e",59.5631403958455,11.295343256101,63.0769230769231,"B2","initial"
"138","fas110928","fas110928_t2.wav","DETERMINÓ","d",59.3856912430955,"e",59.4204501895655,0.0347589464699922,63.0769230769231,"B2","initial"
"139","fas110928","fas110928_t2.wav","UTILIZADO","d",48.0639659341654,"o",58.6441694042507,10.5802034700853,63.0769230769231,"B2","medial"
"145","fas110928","fas110928_t2.wav","DESCUBIERTAS","d",38.7004382960463,"e",56.5861602593818,17.8857219633355,63.0769230769231,"B2","initial"
"146","fas110928","fas110928_t2.wav","DESCUBIERTAS","b",48.4032346851218,"i",60.9441377956154,12.5409031104936,63.0769230769231,"B2","medial"
"147","fas110928","fas110928_t2.wav","DE","d",46.9926667321218,"e",53.9893590537933,6.99669232167145,63.0769230769231,"B2","initial"
"148","fas110928","fas110928_t2.wav","PRODUCTOS","d",51.628881317196,"u",63.011789932971,11.382908615775,63.0769230769231,"B2","medial"
"149","fas110928","fas110928_t2.wav","DE","d",29.2264264837568,"e",61.8949700844593,32.6685436007025,63.0769230769231,"B2","initial"
"150","fas110928","fas110928_t2.wav","CONSIDERABAN","d",57.2288928816813,"e",60.1521459937933,2.923253112112,63.0769230769231,"B2","medial"
"151","fas110928","fas110928_t2.wav","CONSIDERABAN","b",54.4983897776887,"a",60.9220651537212,6.42367537603248,63.0769230769231,"B2","medial"
"152","fas110928","fas110928_t2.wav","IGUALES","g",53.5016310072123,"u",65.040359861738,11.5387288545256,63.0769230769231,"B2","medial"
"153","fas110928","fas110928_t2.wav","DE","d",46.3837616927209,"e",56.7644359352525,10.3806742425316,63.0769230769231,"B2","initial"
"154","fcd260603","fcd260603_t1.wav","ABUELO","b",55.9008454361002,"u",65.2475586240136,9.34671318791339,40,"B1","medial"
"156","fcd260603","fcd260603_t1.wav","ABUELO","b",60.1614381169659,"u",67.0074154614982,6.84597734453229,40,"B1","medial"
"157","fcd260603","fcd260603_t1.wav","BUEN","b",50.8366546236752,"u",64.2834395798253,13.4467849561501,40,"B1","initial"
"158","fcd260603","fcd260603_t1.wav","JUGADOR","g",52.6682640470788,"a",69.6224254554506,16.9541614083718,40,"B1","medial"
"159","fcd260603","fcd260603_t1.wav","JUGADOR","d",50.4463931760184,"o",66.7946749582017,16.3482817821832,40,"B1","medial"
"160","fcd260603","fcd260603_t1.wav","DE","d",24.9750181902119,"e",65.4745804125617,40.4995622223498,40,"B1","initial"
"165","fcd260603","fcd260603_t1.wav","GUSTA","g",56.3932408179827,"u",63.5889575310965,7.19571671311385,40,"B1","initial"
"166","fcd260603","fcd260603_t1.wav","JUGAR","g",57.1973307592859,"a",64.2182268079815,7.02089604869558,40,"B1","medial"
"168","fcd260603","fcd260603_t1.wav","ABUELO","b",54.7187094697566,"u",69.7366864056887,15.0179769359321,40,"B1","medial"
"170","fcd260603","fcd260603_t1.wav","DEL","d",21.2405013875696,"e",62.958350261125,41.7178488735554,40,"B1","initial"
"171","fcd260603","fcd260603_t1.wav","JUEGO","g",56.5411539864165,"o",65.6683468820102,9.12719289559362,40,"B1","medial"
"173","fcd260603","fcd260603_t1.wav","DOMINAR","d",50.5509677234146,"o",65.1865365945462,14.6355688711316,40,"B1","initial"
"175","fcd260603","fcd260603_t1.wav","BALÓN","b",68.6516948364065,"a",68.4831539798023,-0.168540856604167,40,"B1","initial"
"176","fcd260603","fcd260603_t1.wav","REGALÓ","g",58.9176322407615,"a",68.9887694125136,10.0711371717522,40,"B1","medial"
"177","fcd260603","fcd260603_t1.wav","SÁBADO","b",66.0742616141237,"a",69.1905070076483,3.11624539352465,40,"B1","medial"
